"Als eerste 🇳🇱 vrouw🎯? De wereld is echt volledig van het padje af 🤦‍♂️ https://x.com/i/status/1847685404717134205",43
"Mannen zijn zo goed dat we zelfs als eerste Nederlandse vrouw naar het WK kunnen 💪💪💪💪💪",3
"Als je maar lang genoeg blijft zeggen dat 1+1 3 is dan is dat het uiteindelijk ook. Aldus indoctrinatie!",3
"Het einde van de vrouwensport as we know it",7
"Man",2
"Vrouw 😂😂",2
"Nog steeds geen NL vrouw naar WK dus.",17
"Hij kan het als man niet maken dus gaat ie als een vrouw? Pfff, echt waar dit is een schande.",2
"Lekker pik!",1
"https://pbs.twimg.com/media/GaRo9GPWQAAbgpN?format=jpg&name=900x900",1
"het is een man",1
"""als eerste Nederlandse vrouw ooit"" vind ik wat heftig, als vrouw.",1
"""Eerste Nederlandse transvrouw op WK darts heft effectief het bestaan van de vrouwencategorie op door er een gemixed categorie van te maken.""",4
"Man brengt vrouwensport om zeep",1
"""Man die zichzelf vrouw waant doet onterecht mee aan vrouwentoernooi""",2
"Dat is een vent die normaal niet mee kan komen bij de mannen dus probeert hij het op deze manier. Triest dat het kan in deze idiote woke gekte.",2
"Het is het vernederen van biologische vrouwen tot op het bot. Zware competitievervalsing. Dat hij vrouw wil zijn prima, maar blijf weg uit de vrouwensport. Walgelijk.",23
"Is geen vrouw.",2
"En hup! De haters en angsthazen in de gordijnen en op de kast! Gefeliciteerd mevrouw van Leuven! Zet m op! 🍀💪🌹",62
"Volgens mij heeft hij 1 dart pijltje teveel.",15
"Het is een KEREL !!! Als deze onzin door gaat bestaat er straks geen vrouwensport meer.",131
"Het blijft een #man hoor. Hem/hij, piemeldragende mens zonder baarmoeder",34
"Man man man, wat een ballen heeft die vent om daar aan mee te doen.",3
"Nou, vrouwen, flikkeren jullie hem eruit of wat..?",2
"Het is een man",49
"En dit is niet eens een vrouw, wat een kolder.",1
"Het blijft een XY-persoon.",116
"Man man man man man man man kijk maar in de slip losers",1
"Typisch mannelijke gaslighting.",0
"https://pbs.twimg.com/media/GaRPKI5XMAAVjMt?format=jpg&name=medium",39
"Succes kerel",1
"Welke vrouw?",18
"Jullie zijn niet alleen een stelletje constant liegende propagandisten, maar ook compleet waanzinnig. 🤡",31
"Het is geen vrouw stel Mongolen..",89
"Is dus geen vrouw…🤷‍♂️",70
"Als eerste transvrouw bedoelen jullie.",1
"Dat is GEEN vrouw, dat is een omgebouwde, verklede KEREL.",32
"😡😡🤮🤮🤮",5
"Het is een man. En ook nog eens een vrouwenhatende man. Een man die zo snel mogelijk uitgesloten moet worden van de competitie.",9
"welke? ik zie d'r niet.",5
"Mooi, eindelijk een kerel. Dat vrouwendarten kon wel een kwaliteitsboost gebruiken",0
"Belachelijk het is gewoon een kerel die viespeuk",0
"Dit is valsspelen natuurlijk he",0
"In de Mens' Series Darts zie je het fenomeen nooit, ook niet bij andere sporten, hoe zou dat komen?",0
"Het is een man @RTLnieuws🖕🏻",0
"Wat is het nou? Een vrouw of trans?",0
"Heeft een vrouw een keer wat bereikt is het nog niet goed",0
"Knettergek 🤡",0
"Omggg dit is een man geen vrouw https://x.com/i/status/1847686840217735464",1
"🤮🤮🤮",0
"Het zal me jeuken",0
"Man",0
"Deze dame heeft wel ballen..",0
"Rot op met die onzin",0
"Zet m op, kerel!",1
"Een vent in een damestoernooi te gek voor woorden.",1
"""""""vrouw"""""" 🤡🤡",0
"Als het dan zonodig moet, start dan een transgender klasse. Oneerlijke strijd",1
"Ik heb een manier gevonden om uit de 3de divisie te komen...",0
"Dus nu is het een 'man'? Want anders zou het de eerste transvrouw zijn toch? Helaas pindakaas maar echt veranderen in een man of in een vrouw gaat hem niet worden😅",0
"Daar zal hij wel trots op zijn.",8
"Maar geef er straks vooral weer moslims de schuld van. https://pbs.twimg.com/media/GaR2WNnWgAAicgt?format=jpg&name=900x900 https://pbs.twimg.com/media/GaR2-dAWkAAqJkr?format=jpg&name=4096x4096",6
"Blij voor haar! Veel succes 🙌🏾",6
"Vraag me af waarom het woord trans genoemd moet worden? Ze gaat gewoon pijltjes gooien en als eerst Nederlandse vrouw naar het wk. Wees gewoon blij dat ze gaat. Zo jammer al die negativiteit. @DartsNoa laat ze maar eens zien wat je kan. Heel veel succes",15
"Ja @RTLnieuws jullie kunnen blijven beweren dat darter Van Leuven een vrouw is, maar het is een man. Mannen horen niet uit te komen in de vrouwen categorie van welke sport ook. Doe mee met mannen of maak een eigen categorie voor mannen die zichzelf zien als vrouw.",53
"Dat zou mooi zijn, ware het niet dat ‘ie geen vrouw is.",29
"Man! Het is en blijft een MAN!",28
"@RTLNL @rtl7darts Jullie weten toch ook wel dat dit een man met #genderdysforie betreft? Hij wil liever vrouw zijn. Hij is het niet. Hij kan meedoen in de mixed category maar verkiest de vrouwelijke tegenstanders. Dan win je gemakkelijker.",22
"Wie interesseert zich voor flutnieuws over een dartende transpersoon?
Moeten we de vlag uithangen?",8
"Het zit velen hier wel erg hoog of iemand een man of vrouw is blijkbaar. Bang dat je ook een trans darter moet worden of ermee trouwen? 🤪",12
"Wat een vertoning……",0
"Nou wees er trots op",0
"Geen vrouw",0
"😅😅😅",0
"Best lullig",0
"Goed gedaan man.",0
"Wanne kerel",0
"transvrouwen zijn géén!! echte vrouwen. transvrouwen zijn transvrouwen.",0
"Gewoon een vent",0
"Het wk is een gemengd toernooi, who gifes a f*ck of ze man of vrouw is?",0
"Belachelijk.",0
"Get your facts straight: dit is geen vrouw.",0
"Man verkleed als vrouw gaat naar WK, eerste vrouw volgt nog.",0
"ze zal maar voor jou op de wc geweest zijn !!!",0
"Een bio man dus. Heeft niets te zoeken tussen de vrouwen! Start gewoon een nieuwe klasse, de klasse voor transomgeboudeidiotendoorgeslagengenders die alles omzeep helpen en het nog steeds niet willen snappen.",0
"Het is een ordinaire man met mentale issues",0
"Is dit een vrouw met piemel ?",0
"Oh de volgende nep-vrouw.",0
"Edit; Lelijke kerel met serieuze GGZ problemen als eerste Nederlandse man ooit naar WK voor vrouwen Piece of shit",0
"Dii is GEEN vrouw",0
"180 👌🏻👌🏻🥳🥳",0
"Het is een man !!",0
"Doe ff normaal! Dat is geen vrouw en dat zal het ook nooit worden! Jammer voor al die echte vrouwen, dit is gewoon de boel belazeren.",0
"tja...ik kan gelukkig als mislukte man altijd nog mezelf laten ombouwen, en aan een achteruit inparkeerwedstrijd voor vrouwen deelnemen..",0
"@RTLnieuws bedoelt de eerste Nederlandse man, die zich vrouw voelt en zodanig kleed, doet mee aan het darts WK voor vrouwen.",0
"Een vent met een pruik. Nog een slechte pruik ook.",0
"Het is geen vrouw! Zal het nooit worden ook. Het is een omgebouwde vent die niet eens op een vrouw lijkt. Hij gaat gewoon naar het mannen wk en krijgt een pak op zijn lazer op het podium van alle echte kerels",0
"Hij is Man, niet vrouw.",0
"Misschien kan hen ook gaan boksen? Wint het het vast ook",0
"Nou, wat een eer. Een als man verkleed wijf, als eerste vrouw naar 't wk darts 🤡",0
"Is geen vrouw,  iets anders.",0
"Lekker gewerkt pik!",1
"Wat is het nieuws?",0
"Is geen vrouw. Als je je lul eraf snijdt ben je niet ineens een vrouw",0
"Wat leuk voor haar! Ik hoop dat ze heel ver komt. Bekrompen, kleinzielige haters gonna hate.",2
"Hij is een man, stelletje vrouwenhaters bij RTL.",1
"Ze? Jullie bedoelen, hij? Die zich vervolgens ook nog eens als een lul gedraagd door de vrouwen tak van sport kapot te maken.",6
"Benieuwd hoe die ontvangen word in Alexandra palace",1
"Geweldig gefeliciteerd 💪🏼🥳",3
"Grappig  in t mannendarter lukte t niet, benieuwd wat er dan nu te behalen is. 1e ronde en naar huis. Fijn dat er wel n plek van n andere darter weggegeven wordt op deze manier.  Mannen hebben al zoiets van hmm vrouwen, wat gaan die nu zeggen",7
"De hele dartsport gaat zo naar de kloten met die onzin.",1
"Dit is geen vrouw",2
"*man",2
"Wat een vieze vent!",1
"Nee, niet ‘als vrouw’ maar als zichzelf, als man. Lipstick en een krultang maken van mannen geen vrouwen, hoe graag het journaille ons dat ook wil doen geloven. Dit zijn mannen van het laagste soort die met instemming van woke, vrouwen beroven van podia, prijzen, privacy.",1
"Vrouw? Dat is een kerel met een hersenbeschadiging",1
"De kop is fout. Moet zijn trans darter van Leuven als eerste trans darter naar vrouwen EK",1
"Het is en blijft een man",9
"Valsspeler!",4
"Heeft hij goed gedaan..",1
"Nope, niet eerste vrouw, het blijven XY chromosomen.",8
"Maar als zoveelste man.",0
